batch 100, train_loss 379.911621,Time used 0.026997s
***************************test_batch 100, test_rmse_loss 22.199734,test_mae_loss 10.133220,test_mape_loss 95.116871,Time used 0.073005s
batch 200, train_loss 315.773773,Time used 0.028998s
***************************test_batch 200, test_rmse_loss 20.242891,test_mae_loss 8.720060,test_mape_loss 77.913351,Time used 0.090999s
batch 300, train_loss 210.265182,Time used 0.029000s
***************************test_batch 300, test_rmse_loss 15.481140,test_mae_loss 6.064890,test_mape_loss 74.205491,Time used 0.076037s
batch 400, train_loss 98.024826,Time used 0.044997s
***************************test_batch 400, test_rmse_loss 11.763362,test_mae_loss 4.575298,test_mape_loss 62.169211,Time used 0.076033s
batch 500, train_loss 95.414314,Time used 0.025986s
***************************test_batch 500, test_rmse_loss 9.917666,test_mae_loss 3.987286,test_mape_loss 60.633019,Time used 0.082002s
batch 600, train_loss 66.445053,Time used 0.027997s
***************************test_batch 600, test_rmse_loss 9.043795,test_mae_loss 3.759851,test_mape_loss 56.278118,Time used 0.079000s
batch 700, train_loss 58.573574,Time used 0.028967s
***************************test_batch 700, test_rmse_loss 8.545642,test_mae_loss 3.596204,test_mape_loss 56.224207,Time used 0.088000s
batch 800, train_loss 55.181702,Time used 0.029001s
***************************test_batch 800, test_rmse_loss 8.252159,test_mae_loss 3.517393,test_mape_loss 55.889708,Time used 0.091998s
batch 900, train_loss 48.884670,Time used 0.031000s
***************************test_batch 900, test_rmse_loss 8.095063,test_mae_loss 3.478062,test_mape_loss 54.417169,Time used 0.093000s
batch 1000, train_loss 55.024933,Time used 0.030999s
***************************test_batch 1000, test_rmse_loss 8.061581,test_mae_loss 3.467718,test_mape_loss 55.051127,Time used 0.093002s
batch 1100, train_loss 42.954613,Time used 0.029034s
***************************test_batch 1100, test_rmse_loss 8.043666,test_mae_loss 3.460847,test_mape_loss 53.933704,Time used 0.084962s
batch 1200, train_loss 46.402050,Time used 0.032990s
***************************test_batch 1200, test_rmse_loss 7.910640,test_mae_loss 3.428192,test_mape_loss 54.604762,Time used 0.114041s
batch 1300, train_loss 57.395428,Time used 0.032003s
***************************test_batch 1300, test_rmse_loss 7.936997,test_mae_loss 3.437253,test_mape_loss 54.685261,Time used 0.084998s
batch 1400, train_loss 51.528740,Time used 0.031006s
***************************test_batch 1400, test_rmse_loss 7.838184,test_mae_loss 3.415285,test_mape_loss 55.163723,Time used 0.092003s
batch 1500, train_loss 42.920391,Time used 0.029036s
***************************test_batch 1500, test_rmse_loss 7.932545,test_mae_loss 3.438164,test_mape_loss 53.898845,Time used 0.075999s
batch 1600, train_loss 41.098969,Time used 0.026999s
***************************test_batch 1600, test_rmse_loss 7.817486,test_mae_loss 3.403961,test_mape_loss 54.472511,Time used 0.086001s
batch 1700, train_loss 45.695168,Time used 0.027999s
***************************test_batch 1700, test_rmse_loss 7.849806,test_mae_loss 3.419564,test_mape_loss 54.878891,Time used 0.086001s
batch 1800, train_loss 53.665825,Time used 0.022999s
***************************test_batch 1800, test_rmse_loss 7.810623,test_mae_loss 3.399745,test_mape_loss 54.843594,Time used 0.075968s
batch 1900, train_loss 51.017441,Time used 0.056963s
***************************test_batch 1900, test_rmse_loss 7.740612,test_mae_loss 3.387956,test_mape_loss 55.347118,Time used 0.086999s
batch 2000, train_loss 41.081829,Time used 0.033998s
***************************test_batch 2000, test_rmse_loss 7.767742,test_mae_loss 3.393985,test_mape_loss 54.895622,Time used 0.080000s
batch 2100, train_loss 52.187569,Time used 0.029998s
***************************test_batch 2100, test_rmse_loss 7.712579,test_mae_loss 3.372094,test_mape_loss 56.228572,Time used 0.072003s
batch 2200, train_loss 48.237053,Time used 0.024001s
***************************test_batch 2200, test_rmse_loss 7.788785,test_mae_loss 3.397033,test_mape_loss 54.967715,Time used 0.082999s
batch 2300, train_loss 48.646191,Time used 0.027991s
***************************test_batch 2300, test_rmse_loss 7.962022,test_mae_loss 3.444459,test_mape_loss 52.885576,Time used 0.086004s
batch 2400, train_loss 52.290218,Time used 0.026971s
***************************test_batch 2400, test_rmse_loss 7.719520,test_mae_loss 3.374380,test_mape_loss 54.891381,Time used 0.093997s
batch 2500, train_loss 50.966717,Time used 0.025000s
***************************test_batch 2500, test_rmse_loss 7.828428,test_mae_loss 3.392476,test_mape_loss 53.993823,Time used 0.083998s
batch 2600, train_loss 51.004414,Time used 0.029000s
***************************test_batch 2600, test_rmse_loss 7.755905,test_mae_loss 3.384063,test_mape_loss 55.402026,Time used 0.081998s
batch 2700, train_loss 43.846371,Time used 0.028001s
***************************test_batch 2700, test_rmse_loss 7.676273,test_mae_loss 3.368300,test_mape_loss 56.016895,Time used 0.081001s
batch 2800, train_loss 41.009998,Time used 0.023000s
***************************test_batch 2800, test_rmse_loss 7.785307,test_mae_loss 3.393157,test_mape_loss 54.551180,Time used 0.084001s
batch 2900, train_loss 46.072586,Time used 0.025999s
***************************test_batch 2900, test_rmse_loss 7.736876,test_mae_loss 3.384643,test_mape_loss 55.128371,Time used 0.073999s
batch 3000, train_loss 41.269478,Time used 0.032004s
***************************test_batch 3000, test_rmse_loss 7.786790,test_mae_loss 3.390562,test_mape_loss 55.037526,Time used 0.087997s
batch 3100, train_loss 44.921448,Time used 0.081999s
***************************test_batch 3100, test_rmse_loss 7.687503,test_mae_loss 3.366647,test_mape_loss 54.734807,Time used 0.337002s
batch 3200, train_loss 43.341629,Time used 0.045998s
***************************test_batch 3200, test_rmse_loss 7.756298,test_mae_loss 3.373754,test_mape_loss 53.704655,Time used 0.127000s
batch 3300, train_loss 47.183270,Time used 0.038002s
***************************test_batch 3300, test_rmse_loss 7.762457,test_mae_loss 3.377744,test_mape_loss 54.155764,Time used 0.120000s
batch 3400, train_loss 42.958099,Time used 0.038997s
***************************test_batch 3400, test_rmse_loss 7.735043,test_mae_loss 3.380916,test_mape_loss 53.558079,Time used 0.122001s
batch 3500, train_loss 52.928509,Time used 0.048997s
***************************test_batch 3500, test_rmse_loss 7.664729,test_mae_loss 3.341078,test_mape_loss 53.643547,Time used 0.126003s
batch 3600, train_loss 43.361145,Time used 0.044003s
***************************test_batch 3600, test_rmse_loss 7.720360,test_mae_loss 3.337086,test_mape_loss 53.285000,Time used 0.138000s
batch 3700, train_loss 41.097649,Time used 0.037001s
